order_id,rider_id,assigned,predicted_eta,wait_before_assignment_sec
O0041304,D0013,True,29.20897206965231,0.0
O0040988,D0153,True,32.29348030329458,0.0
O0041031,D0127,True,31.617919068128103,0.0
O0041190,D0116,True,23.233203157074506,0.0
O0041416,D0093,True,19.437317039196387,0.0
O0041042,D0241,True,18.069465879675022,0.0
O0041107,D0197,True,22.287125824329877,0.0
O0041129,D0189,True,26.338722764601638,0.0
O0041365,D0164,True,46.46947059041148,0.0
O0041202,D0206,True,20.10672788619764,0.0
O0040756,D0105,True,25.432678246234516,0.0
O0040905,D0109,True,37.702659578324976,0.0
O0041072,D0168,True,26.141507928902726,0.0
O0041060,D0211,True,24.902916910669923,0.0
O0041233,D0131,True,19.417839117898502,0.0
O0040992,D0171,True,29.1047726478457,0.0
O0041199,D0214,True,17.429933400681247,0.0
O0041645,D0136,True,20.610115182646158,0.0
O0041178,D0076,True,39.96753059967504,0.0
O0040770,D0142,True,58.421560754542526,0.0
O0041180,D0039,True,26.854449942366358,0.0
O0041517,D0134,True,22.624746262013232,0.0
O0041336,D0215,True,19.412352712849213,0.0
O0041467,D0130,True,22.98215005719664,0.0
O0041073,D0280,True,20.13641216740241,0.0
O0041373,D0149,True,63.726156510785955,0.0
O0041370,D0223,True,29.49642819690706,0.0
O0041423,D0259,True,53.834393993649265,0.0
O0040747,D0219,True,24.23429468978457,0.0
O0040996,D0046,True,25.083536726390733,0.0
O0041153,D0068,True,20.923052918291532,0.0
O0040832,D0129,True,25.340882565005323,0.0
O0041620,D0178,True,19.242911851733332,0.0
O0041342,D0269,True,44.03027723456798,0.0
O0041622,D0256,True,23.2253578206767,0.0
O0041184,D0002,True,30.21798159627192,0.0
O0041630,D0079,True,21.996146116857844,0.0
O0041288,D0209,True,17.363355795419672,0.0
O0041219,D0229,True,19.337352036089626,0.0
O0041098,D0263,True,24.7475760253174,0.0
O0040986,D0017,True,22.09838364368438,0.0
O0040857,D0115,True,20.036377623553616,0.0
O0041652,D0205,True,21.512837317901436,0.0
O0041356,D0042,True,21.467817757591302,0.0
O0041257,D0166,True,26.078602340457245,0.0
O0040759,D0245,True,72.655765647372,0.0
O0041596,D0279,True,22.162930823410818,0.0
O0041150,D0074,True,27.81117669210639,0.0
O0041551,D0274,True,16.120070203107822,0.0
O0041134,D0034,True,19.398691639484287,0.0
O0041437,D0255,True,20.947122201514595,0.0
O0040762,D0025,True,24.149516175459723,0.0
O0040793,D0030,True,60.412268377481745,0.0
O0041521,D0122,True,26.12479087448994,0.0
O0040810,D0060,True,28.121313795046603,0.0
O0041003,D0224,True,25.516037072913036,0.0
O0041143,D0022,True,23.5222739301516,0.0
O0040784,D0024,True,51.23126655320783,0.0
O0041013,D0099,True,19.7729421411668,0.0
O0040841,D0232,True,36.506821934589304,0.0
O0041236,D0266,True,48.57964033897618,0.0
O0041208,D0291,True,25.39538898082971,0.0
O0041771,D0252,True,22.588183636790784,0.0
O0042338,D0085,True,27.522371551306577,0.0
O0041826,D0213,True,41.8079643707683,0.0
O0041898,D0202,True,36.14963522161712,0.0
O0041668,D0144,True,24.932750085340523,0.0
O0041927,D0124,True,18.387494526503513,0.0
O0041849,D0037,True,19.938349692485783,0.0
O0041809,D0021,True,31.824515759949005,0.0
O0042252,D0167,True,28.88383574631613,0.0
O0041903,D0159,True,30.97038705076999,0.0
O0042165,D0243,True,26.698552854878947,0.0
O0042095,D0004,True,38.7436563198287,0.0
O0042149,D0097,True,29.501360931632167,0.0
O0041965,D0152,True,39.77011814457918,0.0
O0042076,D0001,True,34.49041896832369,0.0
O0041995,D0120,True,39.22336401855448,0.0
O0042426,D0049,True,23.1146473804156,0.0
O0041981,D0172,True,40.69513212002824,0.0
O0042372,D0086,True,25.92517825549441,0.0
O0041910,D0006,True,42.47259144657842,0.0
O0041815,D0248,True,15.6399263043189,0.0
O0042322,D0085,True,26.25856447255449,0.0
O0042285,D0053,True,13.378560204059015,0.0
O0041823,D0225,True,28.619495202316653,0.0
O0041852,D0186,True,30.566279627473854,0.0
O0042009,D0010,True,28.40827984439082,0.0
O0042134,D0292,True,34.63929548507778,0.0
O0041689,D0062,True,25.63861153635621,0.0
O0042025,D0201,True,27.660869979651466,0.0
O0041832,D0200,True,23.716561539106735,0.0
O0042333,D0048,True,74.44520201575473,0.0
O0042070,D0283,True,24.38756032839969,0.0
O0042040,D0218,True,21.978500018747834,0.0
O0042329,D0236,True,19.45123056526261,0.0
O0042019,D0028,True,35.45249116700005,0.0
O0041909,D0195,True,35.91496342249641,0.0
O0042291,D0251,True,27.94664953756209,0.0
O0041866,D0257,True,17.357975758269774,0.0
O0042156,D0032,True,20.83773652372177,0.0
O0041678,D0107,True,19.39680622887085,0.0
O0041796,D0216,True,22.979363054724598,0.0
O0041972,D0088,True,34.556403683381575,0.0
O0041973,D0289,True,35.82562130387169,0.0
O0042098,D0270,True,22.83741712037973,0.0
O0042113,D0104,True,40.95065509367336,0.0
O0041912,D0007,True,19.87479718434693,0.0
O0041688,D0290,True,88.05782709124799,0.0
O0042371,D0160,True,80.40171179195497,0.0
O0042328,D0240,True,43.7004374841143,0.0
O0042349,D0177,True,30.626583786562737,0.0
O0042116,D0084,True,23.875403196864767,0.0
O0041845,D0150,True,31.604382574978295,0.0
O0042190,D0008,True,43.92285243922856,0.0
O0041962,D0111,True,30.232734643099274,0.0
O0041767,D0260,True,36.76270716046238,0.0
O0041713,D0094,True,37.95338985203572,0.0
O0042195,D0193,True,31.29715915521643,0.0
